[02 Feb 2024]  [06:13:38]  ** GUE startup log begins **
[08:10:58]  Creating attributes tab
[08:11:00]  Creating actors tab
[08:11:12]  Creating items tab
[08:11:20]  Creating seasons tab
[08:11:24]  Creating zones tab
[08:11:35]  Creating abilities tab
[08:11:38]  Creating interface tab
[08:11:48]  Creating host options
[08:11:49]  Creating game options
[08:11:50]  Creating money options
[08:11:51]  Creating gubbin remapping options
[08:11:51]  Initialising gadgets
[08:11:59]  Creating skyspheres
[08:11:59]  Performing final initialisation
[08:11:59]  ** GUE loading complete **
[02 Feb 2024]  [08:12:51]  ** GUE startup log begins **
[08:12:51]  Initialising windowed graphics mode
[08:12:51]  Initialising encryption system
[08:12:51]  Loading splash screen
[08:12:59]  Creating media dialogs
[08:13:00]  Loading game interface settings
[08:13:00]  Loading emitter configurations
[08:13:01]  Loading damage types
[08:13:01]  Loading attributes
[08:13:01]  Loading factions
[08:13:01]  Loading animations
[08:13:01]  Loading projectiles
[08:13:01]  Loading items
[08:13:01]  Loading actors
[08:13:01]  Loading abilities
[08:13:01]  Loading server-side zones
[08:13:01]  Loading environment settings
[08:13:01]  Loading suns/moons
[08:13:01]  Creating main window
[08:13:01]  Creating project tab
[08:13:02]  Creating media tab
[08:13:03]  Creating particles tab
[08:13:05]  Creating combat tab
[08:13:06]  Creating projectiles tab
[08:13:08]  Creating factions tab
[08:13:08]  Creating animations tab
[08:13:08]  Creating attributes tab
[08:13:09]  Creating actors tab
[08:13:14]  Creating items tab
[08:13:17]  Creating seasons tab
[08:13:19]  Creating zones tab
[08:13:24]  Creating abilities tab
[08:13:25]  Creating interface tab
[08:13:29]  Creating host options
[08:13:29]  Creating game options
[08:13:30]  Creating money options
[08:13:30]  Creating gubbin remapping options
[08:13:30]  Initialising gadgets
[08:13:33]  Creating skyspheres
[08:13:33]  Performing final initialisation
[08:13:33]  ** GUE loading complete **
[02 Feb 2024]  [08:18:15]  ** GUE startup log begins **
[08:18:15]  Initialising windowed graphics mode
[08:18:15]  Initialising encryption system
[08:18:15]  Loading splash screen
[08:18:22]  Creating media dialogs
[08:18:26]  Loading game interface settings
[08:18:26]  Loading emitter configurations
[08:18:28]  Loading damage types
[08:18:28]  Loading attributes
[08:18:28]  Loading factions
[08:18:28]  Loading animations
[08:18:28]  Loading projectiles
[08:18:28]  Loading items
[08:18:28]  Loading actors
[08:18:28]  Loading abilities
[08:18:28]  Loading server-side zones
[08:18:28]  Loading environment settings
[08:18:28]  Loading suns/moons
[08:18:28]  Creating main window
[08:18:29]  Creating project tab
[08:18:29]  Creating media tab
[08:18:33]  Creating particles tab
[08:18:38]  Creating combat tab
[08:18:40]  Creating projectiles tab
[08:18:44]  Creating factions tab
[08:18:45]  Creating animations tab
[08:18:46]  Creating attributes tab
[08:18:48]  Creating actors tab
[08:19:00]  Creating items tab
[08:19:08]  Creating seasons tab
[08:19:12]  Creating zones tab
[08:19:23]  Creating abilities tab
[08:19:26]  Creating interface tab
[08:19:36]  Creating host options
[08:19:37]  Creating game options
[08:19:39]  Creating money options
[08:19:39]  Creating gubbin remapping options
[08:19:39]  Initialising gadgets
[08:19:47]  Creating skyspheres
[08:19:47]  Performing final initialisation
[08:19:47]  ** GUE loading complete **
[02 Feb 2024]  [08:21:34]  ** GUE startup log begins **
[08:21:34]  Initialising windowed graphics mode
[08:21:34]  Initialising encryption system
[08:21:34]  Loading splash screen
[08:21:41]  Creating media dialogs
[08:21:45]  Loading game interface settings
[08:21:45]  Loading emitter configurations
[08:21:46]  Loading damage types
[08:21:46]  Loading attributes
[08:21:46]  Loading factions
[08:21:46]  Loading animations
[08:21:46]  Loading projectiles
[08:21:46]  Loading items
[08:21:46]  Loading actors
[08:21:46]  Loading abilities
[08:21:46]  Loading server-side zones
[08:21:47]  Loading environment settings
[08:21:47]  Loading suns/moons
[08:21:47]  Creating main window
[08:21:47]  Creating project tab
[08:21:48]  Creating media tab
[08:21:51]  Creating particles tab
[08:21:56]  Creating combat tab
[08:21:59]  Creating projectiles tab
[08:22:03]  Creating factions tab
[08:22:03]  Creating animations tab
[08:22:05]  Creating attributes tab
[08:22:06]  Creating actors tab
[08:22:19]  Creating items tab
[08:22:27]  Creating seasons tab
[08:22:30]  Creating zones tab
[08:22:42]  Creating abilities tab
[08:22:45]  Creating interface tab
[08:22:54]  Creating host options
[08:22:55]  Creating game options
[08:22:57]  Creating money options
[08:22:57]  Creating gubbin remapping options
[08:22:57]  Initialising gadgets
[08:23:05]  Creating skyspheres
[08:23:05]  Performing final initialisation
[08:23:05]  ** GUE loading complete **
[02 Feb 2024]  [08:25:02]  ** GUE startup log begins **
[08:25:02]  Initialising windowed graphics mode
[08:25:02]  Initialising encryption system
[08:25:02]  Loading splash screen
[08:25:08]  Creating media dialogs
[08:25:12]  Loading game interface settings
[08:25:12]  Loading emitter configurations
[08:25:14]  Loading damage types
[08:25:14]  Loading attributes
[08:25:14]  Loading factions
[08:25:14]  Loading animations
[08:25:14]  Loading projectiles
[08:25:14]  Loading items
[08:25:14]  Loading actors
[08:25:14]  Loading abilities
[08:25:14]  Loading server-side zones
[08:25:14]  Loading environment settings
[08:25:14]  Loading suns/moons
[08:25:14]  Creating main window
[08:25:14]  Creating project tab
[08:25:15]  Creating media tab
[08:25:18]  Creating particles tab
[08:25:23]  Creating combat tab
[08:25:26]  Creating projectiles tab
[08:25:30]  Creating factions tab
[08:25:31]  Creating animations tab
[08:25:32]  Creating attributes tab
[08:25:34]  Creating actors tab
[08:25:46]  Creating items tab
[08:25:54]  Creating seasons tab
[08:25:57]  Creating zones tab
[08:26:09]  Creating abilities tab
[08:26:12]  Creating interface tab
[08:26:22]  Creating host options
[08:26:23]  Creating game options
[08:26:24]  Creating money options
[08:26:24]  Creating gubbin remapping options
[08:26:25]  Initialising gadgets
[08:26:33]  Creating skyspheres
[08:26:33]  Performing final initialisation
[08:26:33]  ** GUE loading complete **
[02 Feb 2024]  [08:34:52]  ** Server started **
[02 Feb 2024]  [08:34:52]  ** Server started **
[08:34:52]  Created server windows...
[08:34:52]  Loaded actor attributes...
[08:34:52]  Loaded damage types...
[08:34:52]  Loaded 1 abilities...
[08:34:52]  Loaded 2 factions...
[08:34:52]  Loaded 3 actors...
[08:34:52]  Loaded 4 items...
[08:34:52]  Loaded 2 projectiles...
[08:34:52]  Loaded 0 accounts...
[08:34:53]  Loaded 27 scripts...
[08:34:53]  Script log: Module 'RC_Core.rcm' already loaded
[08:34:53]  Compiled 2 Modules...
[08:34:53]  Loaded superglobal variables...
[08:34:53]  Loaded 4 zones...
[08:34:53]  Loaded 0 dropped items...
[08:34:53]  Loaded misc options...
[08:34:53]  Loaded environment settings...
[02 Feb 2024]  [08:34:53]  Loading complete, server running.
[02 Feb 2024]  [08:34:54]  Updates Server Unlocked
[08:34:54]  Loaded 0 files for update system...
[08:34:54]  Spawning AI actor: Human in zone: Test Zone
[08:34:57]  Spawning AI actor: Human in zone: Test Zone
[08:35:03]  Spawning AI actor: Human in zone: Northern Shrine
[08:35:03]  Spawning AI actor: Stag in zone: Plains
[08:35:03]  Spawning AI actor: Human in zone: Plains
[08:35:03]  Spawning AI actor: Human in zone: Test Zone
[08:35:03]  Spawning AI actor: Human in zone: Test Zone
[08:35:07]  Loaded options from file
[08:35:07]  Gooey loaded for menu
[08:35:09]  EULA complete
[08:35:09]  Loaded animation sets
[08:35:09]  Server chosen
[08:35:21]  Logged in
[02 Feb 2024]  [08:40:47]  ** GUE startup log begins **
[08:40:47]  Initialising windowed graphics mode
[08:40:47]  Initialising encryption system
[08:40:47]  Loading splash screen
[08:40:54]  Creating media dialogs
[08:40:58]  Loading game interface settings
[08:40:58]  Loading emitter configurations
[08:40:59]  Loading damage types
[08:40:59]  Loading attributes
[08:40:59]  Loading factions
[08:40:59]  Loading animations
[08:40:59]  Loading projectiles
[08:40:59]  Loading items
[08:40:59]  Loading actors
[08:40:59]  Loading abilities
[08:40:59]  Loading server-side zones
[08:40:59]  Loading environment settings
[08:40:59]  Loading suns/moons
[08:40:59]  Creating main window
[08:41:00]  Creating project tab
[08:41:00]  Creating media tab
[08:41:04]  Creating particles tab
[08:41:09]  Creating combat tab
[08:41:11]  Creating projectiles tab
[08:41:15]  Creating factions tab
[08:41:16]  Creating animations tab
[08:41:17]  Creating attributes tab
[08:41:19]  Creating actors tab
[08:41:31]  Creating items tab
[08:41:40]  Creating seasons tab
[08:41:43]  Creating zones tab
[08:41:55]  Creating abilities tab
[08:41:58]  Creating interface tab
[08:42:07]  Creating host options
[08:42:08]  Creating game options
[08:42:10]  Creating money options
[08:42:10]  Creating gubbin remapping options
[08:42:11]  Initialising gadgets
[08:42:18]  Creating skyspheres
[08:42:18]  Performing final initialisation
[08:42:18]  ** GUE loading complete **
[02 Feb 2024]  [09:04:49]  ** GUE startup log begins **
[09:04:49]  Initialising windowed graphics mode
[09:04:49]  Initialising encryption system
[09:04:49]  Loading splash screen
[09:04:56]  Creating media dialogs
[09:04:58]  Loading game interface settings
[09:04:58]  Loading emitter configurations
[09:04:58]  Loading damage types
[09:04:58]  Loading attributes
[09:04:58]  Loading factions
[09:04:58]  Loading animations
[09:04:58]  Loading projectiles
[09:04:58]  Loading items
[09:04:58]  Loading actors
[09:04:58]  Loading abilities
[09:04:58]  Loading server-side zones
[09:04:58]  Loading environment settings
[09:04:58]  Loading suns/moons
[09:04:58]  Creating main window
[09:04:58]  Creating project tab
[09:04:58]  Creating media tab
[09:04:58]  Creating particles tab
[09:04:59]  Creating combat tab
[09:04:59]  Creating projectiles tab
[09:04:59]  Creating factions tab
[09:04:59]  Creating animations tab
[09:05:00]  Creating attributes tab
[09:05:00]  Creating actors tab
[09:05:01]  Creating items tab
[09:05:01]  Creating seasons tab
[09:05:02]  Creating zones tab
[09:05:03]  Creating abilities tab
[09:05:03]  Creating interface tab
[09:05:04]  Creating host options
[09:05:04]  Creating game options
[09:05:04]  Creating money options
[09:05:04]  Creating gubbin remapping options
[09:05:04]  Initialising gadgets
[09:05:04]  Creating skyspheres
[09:05:04]  Performing final initialisation
[09:05:04]  ** GUE loading complete **
